timestamp,participant,known_audience,age,gender,nationality,sudoku_frequency,comfort_watched,performed_audience,performance_frequency
2025/10/30 12:01:46 p. m. CET,2,2,27,Male,Greek,Never,2,True,Sometimes
2025/10/30 12:20:10 p. m. CET,3,1,26,Male,Danish,,2,False,
2025/10/30 12:20:10 p. m. CET,1,2,25,Male,German,,3,False,
2025/10/30 3:49:39 p. m. CET,4,1,24,Female,Portuguese,Never,1,True,Sometimes
2025/10/30 4:19:47 p. m. CET,5,2,28,Male,German,,3,False,
2025/11/02 7:02:20 p. m. CET,6,2,24,Male,italian,Never,3,True,Sometimes
2025/11/02 7:03:59 p. m. CET,7,2,25,Female,Polish,,2,True,Sometimes
2025/11/02 7:05:02 p. m. CET,8,2,24,Male,italian,,4,True,Very often
2025/11/02 7:06:07 p. m. CET,9,2,26,Male,italian,,4,True,Often
2025/11/05 3:21:19 p. m. CET,10,2,26,Male,Danish,,4,True,Very often
2025/11/09 1:21:07 p. m. CET,12,2,34,Male,British,,4,True,Often
2025/11/09 3:37:45 p. m. CET,14,3,28,Male,Italian,,2,False,
2025/11/09 3:39:32 p. m. CET,13,3,31,Male,German ,Never,3,True,Often
2025/11/09 3:57:32 p. m. CET,15,3,25,Female,Italy,Never,2,False,
2025/11/09 4:01:21 p. m. CET,16,1,24,Female,Italy,,3,False,
2025/11/09 4:19:43 p. m. CET,18,2,26,Male,Italy,,2,False,
2025/11/09 4:34:41 p. m. CET,17,3,26,Male,Italy,Never,4,True,Sometimes
2025/11/09 6:22:31 p. m. CET,19,2,24,Female,italian,,2,True,Sometimes
2025/11/09 6:33:37 p. m. CET,20,2,23,Female,Danish,,3,True,Sometimes
2025/11/09 7:00:53 p. m. CET,21,2,25,Male,spanish,Never,3,False,
2025/11/09 7:04:01 p. m. CET,22,2,24,Female,Polish,,1,True,Often
2025/11/09 7:08:32 p. m. CET,23,3,26,Male,Italian,,5,True,Rarely
2025/11/09 7:14:45 p. m. CET,11,2,26,Male,Irish,,2,False,Rarely
